block_idx,small_block_idx,step,state,cache_state,decode_step,local_mode,dense_prefix_kv,filtered_prefix_kv,dense_local_kv,commit_total_kv,past_kv_value,current_past_kv,unmask_count
4,0,6,reuse_cache,2,6,reuse_cache_prefix_filter,128,89,32,160,89,128,1
4,0,7,reuse_cache,2,7,reuse_cache_prefix_filter,128,89,32,160,89,128,3
4,0,8,reuse_cache,2,8,reuse_cache_prefix_filter,128,89,32,160,89,128,1
4,0,9,reuse_cache,2,9,reuse_cache_prefix_filter,128,89,32,160,89,128,2
4,1,10,dense_no_cache,0,0,dense_no_cache,128,128,32,160,160,128,2
4,1,11,build_cache,1,1,build_cache_prefix_filter,128,89,32,160,89,128,1
4,1,12,reuse_cache,2,2,reuse_cache_prefix_filter,128,89,32,160,89,128,3
4,1,13,reuse_cache,2,3,reuse_cache_prefix_filter,128,89,32,160,89,128,1
4,1,14,reuse_cache,2,4,reuse_cache_prefix_filter,128,89,32,160,89,128,1
4,1,15,reuse_cache,2,5,reuse_cache_prefix_filter,128,89,32,160,89,128,2
4,1,16,reuse_cache,2,6,reuse_cache_prefix_filter,128,89,32,160,89,128,1
4,1,17,reuse_cache,2,7,reuse_cache_prefix_filter,128,89,32,160,89,128,1
4,1,18,reuse_cache,2,8,reuse_cache_prefix_filter,128,89,32,160,89,128,1
4,1,19,reuse_cache,2,9,reuse_cache_prefix_filter,128,89,32,160,89,128,2
4,1,20,reuse_cache,2,10,reuse_cache_prefix_filter,128,89,32,160,89,128,1
4,,21,commit,,,commit_block,128,128,32,160,160,128,
5,0,0,dense_no_cache,0,0,dense_no_cache,160,160,32,192,192,160,4
5,0,1,build_cache,1,1,build_cache_prefix_filter,160,112,32,192,112,160,4
5,0,2,reuse_cache,2,2,reuse_cache_prefix_filter,160,112,32,192,112,160,1
5,0,3,reuse_cache,2,3,reuse_cache_prefix_filter,160,112,32,192,112,160,1
5,0,4,reuse_cache,2,4,reuse_cache_prefix_filter,160,112,32,192,112,160,2
5,0,5,reuse_cache,2,5,reuse_cache_prefix_filter,160,112,32,192,112,160,1
5,0,6,reuse_cache,2,6,reuse_cache_prefix_filter,160,112,32,192,112,160,1
5,0,7,reuse_cache,2,7,reuse_cache_prefix_filter,160,112,32,192,112,160,1
5,1,8,dense_no_cache,0,0,dense_no_cache,160,160,32,192,192,160,1
5,1,9,build_cache,1,1,build_cache_prefix_filter,160,112,32,192,112,160,1
5,1,10,reuse_cache,2,2,reuse_cache_prefix_filter,160,112,32,192,112,160,2
5,1,11,reuse_cache,2,3,reuse_cache_prefix_filter,160,112,32,192,112,160,2
5,1,12,reuse_cache,2,4,reuse_cache_prefix_filter,160,112,32,192,112,160,3
5,1,13,reuse_cache,2,5,reuse_cache_prefix_filter,160,112,32,192,112,160,1
5,1,14,reuse_cache,2,6,reuse_cache_prefix_filter,160,112,32,192,112,160,5
5,1,15,reuse_cache,2,7,reuse_cache_prefix_filter,160,112,32,192,112,160,1
5,,16,commit,,,commit_block,160,160,32,192,192,160,
6,0,0,dense_no_cache,0,0,dense_no_cache,192,192,32,224,224,192,1
6,0,1,build_cache,1,1,build_cache_prefix_filter,192,134,32,224,134,192,1
6,0,2,reuse_cache,2,2,reuse_cache_prefix_filter,192,134,32,224,134,192,1
6,0,3,reuse_cache,2,3,reuse_cache_prefix_filter,192,134,32,224,134,192,1
6,0,4,reuse_cache,2,4,reuse_cache_prefix_filter,192,134,32,224,134,192,1
6,0,5,reuse_cache,2,5,reuse_cache_prefix_filter,192,134,32,224,134,192,1
6,0,6,reuse_cache,2,6,reuse_cache_prefix_filter,192,134,32,224,134,192,1
6,0,7,reuse_cache,2,7,reuse_cache_prefix_filter,192,134,32,224,134,192,2
6,0,8,reuse_cache,2,8,reuse_cache_prefix_filter,192,134,32,224,134,192,1
6,0,9,reuse_cache,2,9,reuse_cache_prefix_filter,192,134,32,224,134,192,2
6,0,10,reuse_cache,2,10,reuse_cache_prefix_filter,192,134,32,224,134,192,1
6,0,11,reuse_cache,2,11,reuse_cache_prefix_filter,192,134,32,224,134,192,2
6,1,12,dense_no_cache,0,0,dense_no_cache,192,192,32,224,224,192,1
6,1,13,build_cache,1,1,build_cache_prefix_filter,192,134,32,224,134,192,7
6,1,14,reuse_cache,2,2,reuse_cache_prefix_filter,192,134,32,224,134,192,6
6,1,15,reuse_cache,2,3,reuse_cache_prefix_filter,192,134,32,224,134,192,1
6,1,16,reuse_cache,2,4,reuse_cache_prefix_filter,192,134,32,224,134,192,1
6,,17,commit,,,commit_block,192,192,32,224,224,192,
7,0,0,dense_no_cache,0,0,dense_no_cache,224,224,32,256,256,224,8
7,0,1,build_cache,1,1,build_cache_prefix_filter,224,156,32,256,156,224,7
7,1,2,dense_no_cache,0,0,dense_no_cache,224,224,32,256,256,224,13
7,1,3,build_cache,1,1,build_cache_prefix_filter,224,156,32,256,156,224,2
7,1,4,reuse_cache,2,2,reuse_cache_prefix_filter,224,156,32,256,156,224,1
7,,5,commit,,,commit_block,224,224,32,256,256,224,
8,0,0,dense_no_cache,0,0,dense_no_cache,256,256,32,288,288,256,3
8,0,1,build_cache,1,1,build_cache_prefix_filter,256,179,32,288,179,256,1
8,0,2,reuse_cache,2,2,reuse_cache_prefix_filter,256,179,32,288,179,256,1
8,0,3,reuse_cache,2,3,reuse_cache_prefix_filter,256,179,32,288,179,256,2
8,0,4,reuse_cache,2,4,reuse_cache_prefix_filter,256,179,32,288,179,256,1
8,0,5,reuse_cache,2,5,reuse_cache_prefix_filter,256,179,32,288,179,256,1
8,0,6,reuse_cache,2,6,reuse_cache_prefix_filter,256,179,32,288,179,256,1
8,0,7,reuse_cache,2,7,reuse_cache_prefix_filter,256,179,32,288,179,256,1
8,0,8,reuse_cache,2,8,reuse_cache_prefix_filter,256,179,32,288,179,256,1
8,0,9,reuse_cache,2,9,reuse_cache_prefix_filter,256,179,32,288,179,256,1
8,0,10,reuse_cache,2,10,reuse_cache_prefix_filter,256,179,32,288,179,256,1
8,0,11,reuse_cache,2,11,reuse_cache_prefix_filter,256,179,32,288,179,256,1
8,1,12,dense_no_cache,0,0,dense_no_cache,256,256,32,288,288,256,3
8,1,13,build_cache,1,1,build_cache_prefix_filter,256,179,32,288,179,256,10
8,1,14,reuse_cache,2,2,reuse_cache_prefix_filter,256,179,32,288,179,256,2
8,1,15,reuse_cache,2,3,reuse_cache_prefix_filter,256,179,32,288,179,256,1
8,,16,commit,,,commit_block,256,256,32,288,288,256,
9,0,0,dense_no_cache,0,0,dense_no_cache,288,288,32,320,320,288,13
9,0,1,build_cache,1,1,build_cache_prefix_filter,288,201,32,320,201,288,2
9,1,2,dense_no_cache,0,0,dense_no_cache,288,288,32,320,320,288,16
9,,3,commit,,,commit_block,288,288,32,320,320,288,
